 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  24.12.2021    Time:  14: 7:36
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
    2      0.02     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
    3      0.04     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
    4      0.06     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
    5      0.08     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
    6      0.10     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
    7      0.12     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
    8      0.14     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
    9      0.16     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   10      0.18     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   11      0.20     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   12      0.22     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   13      0.24     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   14      0.26     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   15      0.28     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   16      0.30     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   17      0.32     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   18      0.34     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   19      0.36     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   20      0.38     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   21      0.40     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   22      0.42     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   23      0.44     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   24      0.46     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   25      0.48     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   26      0.50     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   27      0.52     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   28      0.54     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   29      0.56     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   30      0.58     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   31      0.60     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   32      0.62     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   33      0.64     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   34      0.66     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   35      0.68     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   36      0.70     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   37      0.72     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   38      0.74     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   39      0.76     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   40      0.78     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   41      0.80     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   42      0.82     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   43      0.84     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   44      0.86     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   45      0.88     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   46      0.90     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   47      0.92     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   48      0.94     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   49      0.96     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   50      0.98     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   51      1.00     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   52      1.02     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   53      1.04     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   54      1.06     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
   55      1.08     0.078     0.430       0.0   0.104E+01     1.000     0.000     1.000     1.000     1.000
